Observer,HM4.Order,HM4.Family,HM4.Latin.name,HM4.Common.name,HM4.Subspecies,Site,State.Province,County.District,Country,Captivity.details,Song_source,Catalog_number,Song_Locality,Signal_Type,No_notes_in_call_bout.song,No_of_Note_Types,IntraIndiv_variation,Single.Note.Number.Of.Notes,Single.Note.Duration.Of.Songs,Single.Note.Song.Pace,Note count the same as number of notes in song?,Edited by,Remarks,Note_Min_Freq_Average,Note_Min_Freq_Variance,Note.Max.Freq.Average,Note.Max.Freq.Variance,Note_Length_Average,Note_Length_Variance,Note_Bandwidth_Average,Note.Bandwidth.Variance,Note_Peak_Freq_Average,Note.Peak.Freq.Variance,Song_Peak_Freq,Song_Min_Freq,Song_Max_Freq,Duration.1st.note,Max.Freq.1st.note,Song.Bandwidth,Note.Count,Song.Duration,Duration.middle.note,Max.freq.middle.note,Duration.Final.Note,Max.Freq.Final.Note,Duration.longest.note,Note_Slope_Average,Note.Slope.Variance,Max.Note.Slope,Pause.Length.Average,Pause.Length.Variance,Note.Slope.first.note,Note.Slope.middle.note,Note.Slope.final.note,Duration.longest.pause,Pace1,Pace2,Pace3,Pace_Change_1,Pace_Change_2,Note_Rate,Freq_Change_1,Freq_Change_2,Dur_change_1,Dur_Change_2,Note_Slope_Ch1,Note_Slope_Ch2,Note_5._Freq,Note_95._Freq,Song_Min_Freq_5,Song_Max_Freq_95,Song.Freq.5..Variance,Song.Freq.95..Variance,Note_Bandwidth_90,Note.Bandwidth.90..Variance,Song_Bandwidth2,Note_Slope_2_Average,Note.Slope.2.Variance,Note_Slope_2_Max,X95..Freq1,X95..Freq2,X95..Freq3,X90..Bandwidth1,X90..Bandwidth2,X90..Bandwidth3,Peak.Freq1,Peak.Freq2,Peak.Freq3,Note.Slope1,Note.Slope2,Note.Slope3,Max.Power1,Max.Power2,Max.Power3
CW,Tinamiformes,Tinamidae A,Crypturellus cinnamomeus,Thicket Tinamou,investigating,,,,,,XC,XC221837,"El Naranjo area, San Luis Potosí",,1,1,N/A,2,15.95,0.12539185,Y,JT,Added single-note parameters and corrected note rate,1138.90,0.00,1491.10,0.00,0.57,0.00,352.20,0.00,1378.10,0.00,1378.10,1138.90,1491.10,0.57,1491.10,352.20,1.00,0.57,0.57,1491.10,0.57,1491.10,0.57,622.26,0.00,622.26,#DIV/0!,#DIV/0!,622.26,622.26,622.26,0.00,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,NA,1.00,1.00,1.00,1.00,1.00,1.00,1248.90,1421.20,1248.90,1421.20,0.00,0.00,172.30,0.00,172.30,304.42,0.00,304.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
CW,Tinamiformes,Tinamidae A,Crypturellus cinnamomeus,Thicket Tinamou,investigating,,,,,,XC,XC328942,"Paquera, Puntarenas",Song,1,1,N/A,2,5.777,0.34620045,Y,JT,Added single-note parameters and corrected note rate,1165.10,0.00,1438.30,0.00,0.49,0.00,273.30,0.00,1335.10,0.00,1335.10,1165.10,1438.30,0.49,1438.30,273.20,1.00,0.49,0.49,1438.30,0.49,1438.30,0.49,555.49,0.00,555.49,#DIV/0!,#DIV/0!,555.49,555.49,555.49,0.00,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,NA,1.00,1.00,1.00,1.00,1.00,1.00,1292.00,1378.10,1292.00,1378.10,0.00,0.00,86.10,0.00,86.10,175.00,0.00,175.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
YZ,Tinamiformes,Tinamidae A,Crypturellus cinnamomeus,Thicket Tinamou,investigating,,,,,,XC,XC10878,"Intermezzo del Bosque, Nicaragua",Song,1,1,0,2,18.949,0.105546467,Y,,,1232.10,NA,1478.50,NA,0.75,NA,246.40,NA,1378.10,NA,1378.10,1232.10,1478.50,0.75,1478.50,246.40,1.00,0.75,0.75,1478.50,0.75,1478.50,0.75,328.97,NA,328.97,NA,NA,328.97,328.97,328.97,NA,NA,NA,NA,NA,NA,1.34,NA,NA,NA,NA,NA,NA,1335.10,1421.20,1335.10,1421.20,NA,NA,86.10,NA,86.10,114.95,NA,114.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
YZ,Tinamiformes,Tinamidae A,Crypturellus cinnamomeus,Thicket Tinamou,investigating,,,,,,XC,XC362986,"Chocoyero - El Brujo Reserva Natural, Nicaragua",,2,2,0,,,,Y,,,1247.45,63.20,1411.75,35.40,0.26,0.00,164.35,3.80,1335.10,0.00,1335.10,1239.50,1417.70,0.21,1405.80,178.20,2.00,0.53,0.21,1405.80,0.32,1417.70,0.32,663.39,21854.29,811.22,0.01,0.00,811.22,811.22,515.56,0.01,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,3.75,1.00,1.01,1.00,1.54,1.00,0.64,1292.00,1378.10,1292.00,1378.10,0.00,0.00,86.10,0.00,86.10,346.67,5377.78,420.00,1378.10,1378.10,#DIV/0!,86.10,86.10,#DIV/0!,1335.10,1335.10,#DIV/0!,420.00,273.33,#DIV/0!,91.90,93.80,#DIV/0!
YZ,Tinamiformes,Tinamidae A,Crypturellus cinnamomeus,Thicket Tinamou,investigating,,,,,,XC,XC384520,"Camino Hacia Geotermia, Nicaragua",,1,1,0,,,,Y,,,1294.80,NA,1588.90,NA,0.45,NA,294.00,NA,1421.20,NA,1421.20,1294.80,1588.90,0.45,1588.90,294.10,1.00,0.45,0.45,1588.90,0.45,1588.90,0.45,649.01,NA,649.01,NA,NA,649.01,649.01,649.01,NA,NA,NA,NA,NA,NA,2.21,NA,NA,NA,NA,NA,NA,1335.10,1507.30,1335.10,1507.30,NA,NA,172.30,NA,172.20,380.35,NA,380.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CW,Cuculiformes,Cuculidae A,Cuculus canorus,Common Cuckoo,canorus,,,,Denmark,,XC,XC412689,"Les Bréviaires, Yvelines, Île-de-France",,2,2,0,,,,Y,JT,Resampled to take just one call,468.50,470.89,675.35,1905.32,0.14,0.00,206.85,481.80,602.95,1853.30,559.90,446.80,719.00,0.10,719.00,272.20,2.00,0.48,0.10,719.00,0.17,631.70,0.17,1650.30,302172.71,2200.00,0.21,0.00,2200.00,2200.00,1100.60,0.21,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,4.18,1.00,0.88,1.00,1.62,1.00,0.50,538.35,602.95,516.80,646.00,464.40,1853.30,64.60,462.25,129.20,542.22,81606.49,827.88,646.00,559.90,#DIV/0!,86.10,43.10,#DIV/0!,646.00,559.90,#DIV/0!,827.88,256.55,#DIV/0!,101.30,102.70,#DIV/0!
CW,Cuculiformes,Cuculidae A,Cuculus canorus,Common Cuckoo,canorus,,,,Denmark,,XC,XC416985,"Matagne-la-Grande, Namur",,2,2,0,,,,Y,JT,Resampled to take just one call,394.05,632.52,670.75,280.56,0.16,0.00,276.70,70.56,562.50,2199.61,515.60,368.90,687.50,0.12,687.50,318.60,2.00,0.44,0.12,687.50,0.20,654.00,0.20,1876.42,190546.24,2312.93,0.12,0.00,2312.93,2312.93,1439.90,0.12,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,4.58,1.00,0.95,1.00,1.71,1.00,0.62,515.65,609.35,468.80,656.20,2194.92,2194.92,93.80,0.00,187.40,641.18,28036.71,808.62,656.20,562.50,#DIV/0!,93.80,93.80,#DIV/0!,609.40,515.60,#DIV/0!,808.62,473.74,#DIV/0!,101.90,103.50,#DIV/0!
CW,Cuculiformes,Cuculidae A,Cuculus canorus,Common Cuckoo,canorus,,,,Denmark,,XC,XC415214,Biebrza Marshes,,2,2,0,,,,Y,JT,Resampled to take just one call,419.25,280.56,721.05,1125.60,0.18,0.00,301.85,280.56,585.95,549.90,609.40,402.50,754.60,0.14,754.60,352.10,2.00,0.58,0.14,754.60,0.23,687.50,0.23,1763.08,262797.56,2275.71,0.21,0.00,2275.71,2275.71,1250.44,0.21,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,3.47,1.00,0.91,1.00,1.63,1.00,0.55,539.05,632.80,515.60,703.10,549.90,4942.09,93.75,2194.92,187.50,604.99,159434.09,1004.29,703.10,562.50,#DIV/0!,140.60,46.90,#DIV/0!,609.40,562.50,#DIV/0!,1004.29,205.70,#DIV/0!,104.00,103.00,#DIV/0!
CW,Cuculiformes,Cuculidae A,Cuculus canorus,Common Cuckoo,canorus,,,,Denmark,,XC,XC414701,"El Condado (near Almonte), Huelva, Andalucía",,2,2,0,,,,Y,JT,Resampled to take just one call,462.20,237.16,731.80,2905.21,0.15,0.00,269.60,1482.25,646.00,1857.61,689.10,446.80,785.70,0.14,785.70,338.90,2.00,0.49,0.14,785.70,0.17,677.90,0.17,1780.35,163827.07,2185.11,0.18,0.00,2185.11,2185.11,1375.60,0.18,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,4.12,1.00,0.86,1.00,1.19,1.00,0.63,602.95,667.50,559.90,732.10,1853.30,4173.16,64.60,462.25,172.20,433.59,31345.05,610.64,732.10,602.90,#DIV/0!,86.10,43.10,#DIV/0!,689.10,602.90,#DIV/0!,610.64,256.55,#DIV/0!,105.50,101.30,#DIV/0!
CW,Cuculiformes,Cuculidae A,Cuculus canorus,Common Cuckoo,canorus,,,,Denmark,,XC,XC417020,"Birieux, Ain, Auvergne-Rhône-Alpes",,2,2,0,,,,Y,JT,Resampled to take just one call,423.70,533.61,639.40,2905.21,0.14,0.00,215.70,948.64,559.85,1853.30,516.80,400.60,693.30,0.10,693.30,292.70,2.00,0.45,0.10,693.30,0.17,585.50,0.17,1795.15,518620.43,2515.31,0.18,0.00,2515.31,2515.31,1075.00,0.18,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,4.46,1.00,0.84,1.00,1.76,1.00,0.43,495.25,602.95,473.70,646.00,464.40,1853.30,107.65,464.40,172.30,909.47,167193.47,1318.37,646.00,559.90,#DIV/0!,129.20,86.10,#DIV/0!,602.90,516.80,#DIV/0!,1318.37,500.58,#DIV/0!,92.80,95.40,#DIV/0!
CW,Cuculiformes,Cuculidae A,Cuculus canorus,Common Cuckoo,canorus,,,,Denmark,,XC,XC415288,Biebrza Marshes,,2,2,0,,,,Y,JT,Resampled to take just one call,410.85,69.72,721.10,13782.76,0.15,0.00,310.25,15813.06,632.80,4942.09,703.10,402.50,838.50,0.12,838.50,436.00,2.00,0.50,0.12,838.50,0.19,603.70,0.19,2340.77,1833700.88,3694.92,0.20,0.00,3694.92,3694.92,986.63,0.20,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,3.98,1.00,0.72,1.00,1.58,1.00,0.27,562.50,656.25,515.60,750.00,2199.61,8789.06,93.75,2194.92,234.40,721.16,221240.07,1191.53,750.00,562.50,#DIV/0!,140.60,46.90,#DIV/0!,703.10,562.50,#DIV/0!,1191.53,250.80,#DIV/0!,105.40,96.00,#DIV/0!
CW,Passeriformes,Dicaeidae,Dicaeum eximium,Red-banded Flowerpecker,eximium,Weitin River Valley,New Ireland,New Ireland Province,Papua New Guinea,,XC,XC38181,"Kilu Ridge, Kimbe Bay, New Britain",,1,1,0,9,2.553,3.525264395,Y,JT,Resampled as single-note,6847.00,0.00,7370.00,0.00,0.01,0.00,522.90,0.00,7106.00,0.00,7106.00,6847.00,7370.00,0.01,7370.00,523.00,1.00,0.01,0.01,7370.00,0.01,7370.00,0.01,37350.00,0.00,37350.00,#DIV/0!,#DIV/0!,37350.00,37350.00,37350.00,0.00,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,NA,1.00,1.00,1.00,1.00,1.00,1.00,6890.60,7235.20,6890.60,7235.20,0.00,0.00,344.50,0.00,344.60,24607.14,0.00,24607.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
CW,Passeriformes,Dicaeidae,Dicaeum eximium,Red-banded Flowerpecker,eximium,Weitin River Valley,New Ireland,New Ireland Province,Papua New Guinea,,XC,XC190780,"Walindi, West New Britain Province",,1,1,0,76,19.95,3.80952381,Y,JT,Resampled as single-note,6796.40,0.00,7274.00,0.00,0.05,0.00,477.60,0.00,6933.70,0.00,6933.70,6796.40,7274.00,0.05,7274.00,477.60,1.00,0.05,0.05,7274.00,0.05,7274.00,0.05,8844.44,0.00,8844.44,#DIV/0!,#DIV/0!,8844.44,8844.44,8844.44,0.00,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,NA,1.00,1.00,1.00,1.00,1.00,1.00,6847.60,7192.10,6847.60,7192.10,0.00,0.00,344.50,0.00,344.50,6379.63,0.00,6379.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
CW,Casuariiformes,Casuariidae B (emu),Dromaius novaehollandiae,Emu,novaehollandiae,,,,,from San Diego Zoo,XC,XC233818,"The Pilliga, New South Wales",Call,1,1,0,9,8.577,1.049317943,Y,JT,Resampled as note count did not match,16.80,0.00,251.50,0.00,0.12,0.00,234.80,0.00,93.80,0.00,93.80,16.80,251.50,0.12,251.50,234.70,1.00,0.12,0.12,251.50,0.12,251.50,0.12,2024.14,0.00,2024.14,#DIV/0!,#DIV/0!,2024.14,2024.14,2024.14,0.00,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,NA,1.00,1.00,1.00,1.00,1.00,1.00,46.90,140.60,46.90,140.60,0.00,0.00,93.80,0.00,93.70,808.62,0.00,808.62,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
JT,Casuariiformes,Casuariidae B (emu),Dromaius novaehollandiae,Emu,,Helensburgh,New South Wales,,Australia,,XC,XC195089,,Drumming,1,1,,15,3.602,4.164353137,Y,,,21.80,0.00,294.10,0.00,0.14,0.00,272.40,0.00,129.20,0.00,129.20,21.80,294.10,0.14,294.10,272.30,1.00,0.14,0.14,294.10,0.14,294.10,0.14,2017.78,0.00,2017.78,#DIV/0!,#DIV/0!,2017.78,2017.78,2017.78,0.00,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,NA,1.00,1.00,1.00,1.00,1.00,1.00,86.10,172.30,86.10,172.30,0.00,0.00,86.10,0.00,86.20,637.78,0.00,637.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
YZ,Casuariiformes,Casuariidae B (emu),Dromaius novaehollandiae,Emu,novaehollandiae,,,,,from San Diego Zoo,XC,XC326393,"Biboohra, Mareeba Shire, Queensland, Australia",Call,1,1,0,6,3.947,1.52014188,Y,,,50.40,NA,336.00,NA,0.18,NA,285.60,NA,215.30,NA,215.30,50.40,336.00,0.18,336.00,285.60,1.00,0.18,0.18,336.00,0.18,336.00,0.18,1632.00,NA,1632.00,NA,NA,1632.00,1632.00,1632.00,NA,NA,NA,NA,NA,NA,5.71,NA,NA,NA,NA,NA,NA,129.20,258.40,129.20,258.40,NA,NA,129.20,NA,129.20,738.29,NA,738.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
YZ,Casuariiformes,Casuariidae B (emu),Dromaius novaehollandiae,Emu,novaehollandiae,,,,,from San Diego Zoo,XC,XC287027,"Bowra Station, near Cunnamulla, Queensland, Australia",Call,1,1,0,6,4.707,1.274697259,Y,,,9.90,NA,237.60,NA,0.58,NA,227.70,NA,140.60,NA,140.60,9.90,237.60,0.58,237.60,227.70,1.00,0.58,0.58,237.60,0.58,237.60,0.58,389.90,NA,389.90,NA,NA,389.90,389.90,389.90,NA,NA,NA,NA,NA,NA,1.71,NA,NA,NA,NA,NA,NA,93.80,187.50,93.80,187.50,NA,NA,93.80,NA,93.70,160.62,NA,160.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CW,Pelecaniformes,Ardeidae A,Egretta garzetta,Little Egret,garzetta,,,"Yangxian County, south Qinling Mountains",China,,XC,XC311264,Bundala Ramsar Wetland,,1,1,0,4,4.44,0.900900901,Y,,All different call types; JAT: just aim for a single note. The craaw 'display call' or 'song' sometimes just called 'call' in XC. Given twice in XC166250. Also in a series in XC333938 and XC333937 (just measure one note each). Try to get 6 individuals,1340.40,0.00,1633.10,0.00,0.68,0.00,292.70,0.00,1507.30,0.00,1507.30,1340.40,1633.10,0.68,1633.10,292.70,1.00,0.68,0.68,1633.10,0.68,1633.10,0.68,433.63,0.00,433.63,#DIV/0!,#DIV/0!,433.63,433.63,433.63,0.00,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,NA,1.00,1.00,1.00,1.00,1.00,1.00,1464.30,1550.40,1464.30,1550.40,0.00,0.00,86.10,0.00,86.10,127.56,0.00,127.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
CW,Pelecaniformes,Ardeidae A,Egretta garzetta,Little Egret,garzetta,,,"Yangxian County, south Qinling Mountains",China,,XC,XC333981,"salinas de bonanza, sanlúcar de barrameda, cádiz, andalucía",,1,1,0,2,4.554,0.439174352,Y,,All different call types; JAT: just aim for a single note. The craaw 'display call' or 'song' sometimes just called 'call' in XC. Given twice in XC166250. Also in a series in XC333938 and XC333937 (just measure one note each). Try to get 6 individuals,1309.60,0.00,1679.30,0.00,0.52,0.00,369.80,0.00,1550.40,0.00,1550.40,1309.60,1679.30,0.52,1679.30,369.70,1.00,0.52,0.52,1679.30,0.52,1679.30,0.52,708.43,0.00,708.43,#DIV/0!,#DIV/0!,708.43,708.43,708.43,0.00,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,NA,1.00,1.00,1.00,1.00,1.00,1.00,1335.10,1593.50,1335.10,1593.50,0.00,0.00,258.40,0.00,258.40,495.02,0.00,495.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
CW,Pelecaniformes,Ardeidae A,Egretta garzetta,Little Egret,garzetta,,,"Yangxian County, south Qinling Mountains",China,,XC,XC300266,Lake Awassa,,1,1,N/A,4,4.176,0.957854406,Y,JT,All different call types; JAT: just aim for a single note. The craaw 'display call' or 'song' sometimes just called 'call' in XC. Given twice in XC166250. Also in a series in XC333938 and XC333937 (just measure one note each). Try to get 6 individuals,1201.70,0.00,1571.50,0.00,0.57,0.00,369.80,0.00,1421.20,0.00,1421.20,1201.70,1571.50,0.57,1571.50,369.80,1.00,0.57,0.57,1571.50,0.57,1571.50,0.57,654.51,0.00,654.51,#DIV/0!,#DIV/0!,654.51,654.51,654.51,0.00,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,NA,1.00,1.00,1.00,1.00,1.00,1.00,1292.00,1507.30,1292.00,1507.30,0.00,0.00,215.30,0.00,215.30,381.06,0.00,381.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
CW,Pelecaniformes,Ardeidae A,Egretta garzetta,Little Egret,,Wirawila,Southern Province,Hambantota,Sri Lanka,,XC,XC453351,,,1,1,,3,3.698,0.811249324,Y,,,1140.10,0.00,1494.50,0.00,0.71,0.00,354.40,0.00,1292.00,0.00,1292.00,1140.10,1494.50,0.71,1494.50,354.40,1.00,0.71,0.71,1494.50,0.71,1494.50,0.71,499.15,0.00,499.15,#DIV/0!,#DIV/0!,499.15,499.15,499.15,0.00,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,NA,1.00,1.00,1.00,1.00,1.00,1.00,1205.90,1464.30,1205.90,1464.30,0.00,0.00,258.40,0.00,258.40,363.94,0.00,363.94,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
CW,Pelecaniformes,Ardeidae A,Egretta garzetta,Little Egret,,Keoladeo National Park,Rajasthan,Bharatpur,India,,XC,XC460199,,,1,1,,3,2.696,1.112759644,Y,,,1448.20,0.00,1710.20,0.00,0.42,0.00,261.90,0.00,1636.50,0.00,1636.50,1448.20,1710.20,0.42,1710.20,262.00,1.00,0.42,0.42,1710.20,0.42,1710.20,0.42,628.06,0.00,628.06,#DIV/0!,#DIV/0!,628.06,628.06,628.06,0.00,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,NA,1.00,1.00,1.00,1.00,1.00,1.00,1507.30,1679.60,1507.30,1679.60,0.00,0.00,172.30,0.00,172.30,413.19,0.00,413.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
CW,Pelecaniformes,Ardeidae A,Egretta garzetta,Little Egret,,Bik'at Beit Sje'an (near Kfar Ruppin),North Distract,,Israel,,XC,XC465332,,,1,1,,4,3.984,1.004016064,Y,,,1448.20,0.00,1710.20,0.00,0.49,0.00,261.90,0.00,1593.50,0.00,1593.50,1448.20,1710.20,0.49,1710.20,262.00,1.00,0.49,0.49,1710.20,0.49,1710.20,0.49,536.68,0.00,536.68,#DIV/0!,#DIV/0!,536.68,536.68,536.68,0.00,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,2.05,1.00,1.00,1.00,1.00,1.00,1.00,1507.30,1636.50,1507.30,1636.50,0.00,0.00,129.20,0.00,129.20,264.75,0.00,264.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
YZ,Pelecaniformes,Ardeidae A,Egretta garzetta,Little Egret,garzetta,,,"Yangxian County, south Qinling Mountains",China,,XC,XC166250,"Calvim, Aldona, Bardez, Goa, India",,1,1,0,2,4.465,0.447928331,Y,,,1030.50,NA,1859.40,NA,0.67,NA,828.90,NA,1687.50,NA,1687.50,1030.50,1859.40,0.67,1859.40,828.90,1.00,0.67,0.67,1859.40,0.67,1859.40,0.67,1244.59,NA,1244.59,NA,NA,1244.59,1244.59,1244.59,NA,NA,NA,NA,NA,NA,1.50,NA,NA,NA,NA,NA,NA,1265.60,1781.20,1265.60,1781.20,NA,NA,515.60,NA,515.60,774.17,NA,774.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
YZ,Pelecaniformes,Ardeidae A,Egretta garzetta,Little Egret,garzetta,,,"Yangxian County, south Qinling Mountains",China,,XC,XC236581,"Budai-Dongshih, Chiayi County",,1,1,0,5,6.322,0.790888959,Y,,,1018.60,NA,3584.30,NA,0.50,NA,2565.70,NA,1507.30,NA,1507.30,1018.60,3584.30,0.50,3584.30,2565.70,1.00,0.50,0.50,3584.30,0.50,3584.30,0.50,5121.16,NA,5121.16,NA,NA,5121.16,5121.16,5121.16,NA,NA,NA,NA,NA,NA,2.00,NA,NA,NA,NA,NA,NA,1248.90,3316.10,1248.90,3316.10,NA,NA,2067.20,NA,2067.20,4126.15,NA,4126.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
YZ,Pelecaniformes,Ardeidae A,Egretta garzetta,Little Egret,garzetta,,,"Yangxian County, south Qinling Mountains",China,,XC,XC436694,"Kitasaga, Kyoto Prefecture, Japan",,1,1,0,2,1.486,1.34589502,Y,,,1148.00,NA,3217.10,NA,0.44,NA,2069.10,NA,1500.00,NA,1500.00,1148.00,3217.10,0.44,3217.10,2069.10,1.00,0.44,0.44,3217.10,0.44,3217.10,0.44,4756.55,NA,4756.55,NA,NA,4756.55,4756.55,4756.55,NA,NA,NA,NA,NA,NA,2.30,NA,NA,NA,NA,NA,NA,1312.50,2812.50,1312.50,2812.50,NA,NA,1500.00,NA,1500.00,3448.28,NA,3448.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
YZ,Pelecaniformes,Ardeidae A,Egretta garzetta,Little Egret,garzetta,,,"Yangxian County, south Qinling Mountains",China,,XC,XC403160,"Tambon Lam Pho, Amphoe Bang Bua Thong, Chang Wat Nonthaburi, Thailand",,1,1,0,3,4.222,0.710563714,Y,,,1134.70,NA,1775.40,NA,0.99,NA,640.80,NA,1335.10,NA,1335.10,1134.70,1775.40,0.99,1775.40,640.70,1.00,0.99,0.99,1775.40,0.99,1775.40,0.99,647.27,NA,647.27,NA,NA,647.27,647.27,647.27,NA,NA,NA,NA,NA,NA,1.01,NA,NA,NA,NA,NA,NA,1205.90,1722.70,1205.90,1722.70,NA,NA,516.80,NA,516.80,522.02,NA,522.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CW,Passeriformes,Vireonidae B (erpornis),Erpornis zantholeuca,Erpornis,brunnescens,,Sabah,,Malaysia,,XC,XC388756,"Tashiding, West Sikkim",,5,2,0,,,,Y,,,5735.54,395040.54,6331.90,495106.93,0.14,0.00,596.38,20263.49,6089.60,522722.99,6373.80,4491.20,6747.80,0.13,6651.00,2256.60,5.00,0.85,0.15,6747.80,0.12,6651.00,0.16,4261.85,828119.20,5230.46,0.04,0.00,4605.56,5230.46,3699.18,0.06,6.19,5.75,8.20,0.93,1.43,5.88,1.01,0.99,1.20,0.81,1.14,0.71,5813.96,6287.70,4608.10,6718.40,370199.92,477758.63,473.74,24479.09,2110.30,3374.54,1021223.56,4563.58,6632.20,5814.00,6546.10,538.30,495.30,301.50,6416.90,5620.20,6373.80,3958.73,3241.98,2471.31,77.45,77.60,80.80
CW,Passeriformes,Vireonidae B (erpornis),Erpornis zantholeuca,Erpornis,brunnescens,,Sabah,,Malaysia,,XC,XC396720,"Thi Nuey Station, Thung Yai Naresuan Wildlife Sanctuary",,8,8,0,,,,Y,,,5245.81,114610.37,6362.33,176091.43,0.08,0.00,1116.51,15560.80,5474.83,124012.98,4866.50,4523.00,6752.50,0.10,5414.80,2229.50,8.00,0.79,0.08,6436.00,0.08,6752.50,0.10,14480.21,8146996.80,17862.90,0.02,0.00,8829.70,14206.17,12650.60,0.03,10.68,10.34,10.99,0.97,1.06,10.17,1.19,1.05,0.80,1.02,1.61,0.89,5324.08,6185.41,4651.20,6503.00,100118.34,189617.82,861.33,28288.70,1851.80,11247.07,8322025.48,14587.10,5756.53,6416.90,6481.50,760.83,990.53,818.25,5110.53,5541.23,5921.65,10057.86,12833.56,10651.13,99.70,99.33,98.55
CW,Passeriformes,Vireonidae B (erpornis),Erpornis zantholeuca,Erpornis,brunnescens,,Sabah,,Malaysia,,XC,XC240667,"(Phnom Aoral) ??? ?????????, ???????????, ??????????????",,9,9,0,,,,Y,,,4280.50,94307.01,5479.12,50599.30,0.05,0.00,1198.61,18755.76,4995.70,60595.76,5168.00,3936.90,5821.10,0.05,5102.00,1884.20,9.00,0.64,0.04,5461.50,0.04,5821.10,0.06,26352.79,14121497.19,31573.17,0.03,0.00,22405.77,31573.17,26300.00,0.03,15.54,14.35,16.67,0.92,1.16,14.15,1.07,1.07,0.79,0.85,1.41,0.83,4498.04,5345.00,4134.40,5727.80,76704.00,54997.02,846.97,14835.99,1593.40,18637.26,10117820.29,24158.54,5067.47,5383.27,5584.27,818.27,1004.87,717.77,4852.13,4952.63,5182.33,17845.22,20972.60,17093.96,98.07,98.67,96.60
